scope,n_pairs,gap_own,gap_own_p,gap_ref,gap_ref_ci,gap_ref_p,gap_ref_d,pct_of_gap_from_scorer
Baseline — overall,200,0.0461,4.1517840465771983e-41,0.0506,"[0.0447, 0.0565]",5.3479578559443224e-40,1.187,-9.8
Baseline — Fruit,50,0.0379,1.389326347913565e-13,0.0714,"[0.0546, 0.0881]",2.726120897762905e-11,1.21,-88.5
Baseline — Cars,50,0.0034,0.2589688711907727,0.0262,"[0.0201, 0.0322]",1.6281305126343878e-11,1.231,-676.8
Baseline — Clothes,50,0.0888,1.204546324329693e-28,0.0732,"[0.0647, 0.0818]",2.228694143201761e-22,2.429,17.5
Baseline — Forest,50,0.0543,7.051722626651911e-33,0.0316,"[0.0247, 0.0385]",3.180774756234295e-12,1.298,41.8
